INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('realizesairplane3@o2.pl','tNlD37R1iTz58xR3','2017-07-27','1');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('tricksmoney9@onet.pl','LGVifHwpxvE8','2018-08-07','4');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('beforeslipping2@gmail.com','ei4Q9KTIf1','2015-12-31','3');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('hisfishing8@wp.pl','PkRFfkvr8xAgnTb2','2017-07-08','3');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('hisforced4@gmail.com','uy5VpY6xk3','2020-12-19','2');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('hehe2@gmail.com','eO9Q7leJO2xgY7','2019-04-29','2');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('hasMr.2@o2.pl','XdOo4ANxH4g5','2019-10-18','4');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('intothe5@o2.pl','dK5xPibd7','2015-03-18','3');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('Inovel8@gmail.com','pNj3jZfmerWfTBd4','2014-09-09','1');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('fleesmoney7@o2.pl','8dwYnkQU9','2013-02-17','1');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('histhe9@o2.pl','Se3FZJGfvvIE4','2014-04-15','1');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('awayowes2@gmail.com','QpPBabCbm69','2019-07-21','3');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('anyairplane2@wp.pl','wGGzk72Xd7','2017-09-06','1');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('Harryhis3@gmail.com','NFt5JCvWV9','2014-09-02','5');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('anyaway3@onet.pl','etvt7XhYl5BViMV4','2015-01-13','2');
