INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('Mr.without2@wp.pl','Z 6K 6s 6z 6l 6c 6i 6J 6','2014-08-03','1');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('byinitially5@gmail.com','x 7Z 7p 7W 7U 7h 7k 7s 7','2013-10-25','1');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('anyairplane6@o2.pl','R 9D 9T 9D 9l 9b 9Z 99 9','2013-07-06','5');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('happenedto3@o2.pl','P 4E 4t 4M 43 4l 48 4u 45 4o 43 4O 4Z 4','2017-03-28','1');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('heslipping4@wp.pl','c 9X 9f 9D 9K 9Z 9v 9z 9r 98 9c 9D 9Q 9','2014-08-25','2');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('themainland1@gmail.com','o 92 9O 9Y 98 9w 9U 9D 96 9d 9k 9','2017-11-07','5');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('byMr.9@gmail.com','b 8w 8E 8j 8X 8M 8m 8l 8M 8z 8','2016-04-12','2');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('heHarry1@gmail.com','8 8f 8F 89 8W 84 8r 8Q 8','2020-10-03','5');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('bythe3@wp.pl','S 5P 5Q 5C 5K 5c 5B 5w 5','2017-01-15','2');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('hefishing9@gmail.com','9 8f 8G 82 8z 8o 8D 8k 8K 8Z 8n 8h 8n 8','2014-11-03','5');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('byforces5@o2.pl','X 6J 6K 6J 6V 6D 6l 62 6R 6Q 6C 6','2020-12-22','1');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('beforehas8@gmail.com','N 2S 2b 2x 2p 2p 2I 2Y 2l 2','2018-06-25','2');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('forcedflees3@gmail.com','D 6C 6B 6U 6r 65 6k 6M 6H 6','2016-03-27','4');
INSERT INTO konta(email, haslo, data_zalozenia, id_planu) VALUES ('hewho1@gmail.com','U 4V 4c 4H 4B 4z 4m 4U 4b 4f 4P 4E 46 4f 4t 4','2015-06-26','4');
